label,n_days,total_pnl,ann_return,ann_vol,sharpe,max_dd,n_trades,hit_rate,avg_win,avg_loss,win_loss_ratio,avg_hold_days,max_win_streak,max_loss_streak,lookback,entry_z,exit_z,max_hold,spread,spread_label,metal
si_si_cal_23_lb20_ez2.5_xz0.5_mh10,2129,-0.0,-0.0,0.104,-0.006,-0.32,47,0.404,0.026,-0.018,1.43,10.6,3,5,20,2.5,0.5,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez2.5_xz0.5_mh20,2129,0.08,0.01,0.106,0.088,-0.26,47,0.447,0.025,-0.017,1.43,13.3,6,5,20,2.5,0.5,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez2.5_xz0.5_mh40,2129,0.11,0.01,0.106,0.119,-0.23,47,0.447,0.025,-0.016,1.52,13.6,6,5,20,2.5,0.5,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.0_xz0.0_mh5,2129,-2.41,-0.29,0.179,-1.589,-2.64,221,0.077,0.029,-0.004,6.8,2.2,4,37,60,1.0,0.0,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.0_xz0.0_mh10,2129,-1.63,-0.19,0.187,-1.033,-1.88,123,0.146,0.028,-0.007,3.82,5.6,3,22,60,1.0,0.0,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.0_xz0.0_mh20,2129,-0.95,-0.11,0.187,-0.602,-1.21,74,0.297,0.031,-0.014,2.2,13.6,3,8,60,1.0,0.0,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.0_xz0.0_mh40,2129,-0.62,-0.07,0.191,-0.384,-1.01,52,0.404,0.028,-0.047,0.6,27.8,3,6,60,1.0,0.0,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.0_xz0.5_mh5,2129,-2.26,-0.27,0.173,-1.547,-2.58,220,0.091,0.027,-0.004,6.4,2.1,5,37,60,1.0,0.5,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.0_xz0.5_mh10,2129,-1.32,-0.16,0.178,-0.881,-1.65,128,0.203,0.023,-0.008,2.92,5.5,5,17,60,1.0,0.5,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.0_xz0.5_mh20,2129,-0.75,-0.09,0.176,-0.504,-1.1,83,0.337,0.023,-0.015,1.51,12.9,5,8,60,1.0,0.5,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.0_xz0.5_mh40,2129,-0.48,-0.06,0.176,-0.325,-0.87,68,0.441,0.023,-0.034,0.66,22.3,8,7,60,1.0,0.5,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.5_xz0.0_mh5,2129,-1.74,-0.21,0.157,-1.306,-2.0,132,0.114,0.027,-0.008,3.37,3.6,3,34,60,1.5,0.0,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.5_xz0.0_mh10,2129,-0.93,-0.11,0.166,-0.663,-1.23,72,0.222,0.027,-0.014,1.83,10.2,3,13,60,1.5,0.0,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.5_xz0.0_mh20,2129,-0.52,-0.06,0.168,-0.365,-0.89,55,0.4,0.027,-0.026,1.04,20.3,5,5,60,1.5,0.0,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.5_xz0.0_mh40,2129,-0.6,-0.07,0.185,-0.382,-1.01,42,0.476,0.031,-0.066,0.48,34.2,5,3,60,1.5,0.0,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.5_xz0.5_mh5,2129,-1.71,-0.2,0.156,-1.3,-1.97,132,0.129,0.023,-0.008,2.91,3.5,3,32,60,1.5,0.5,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.5_xz0.5_mh10,2129,-0.93,-0.11,0.158,-0.694,-1.25,74,0.27,0.023,-0.014,1.61,9.6,3,13,60,1.5,0.5,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.5_xz0.5_mh20,2129,-0.56,-0.07,0.157,-0.418,-0.92,60,0.417,0.02,-0.024,0.82,18.7,6,7,60,1.5,0.5,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez1.5_xz0.5_mh40,2129,-0.61,-0.07,0.168,-0.428,-1.0,52,0.462,0.021,-0.046,0.45,28.3,6,7,60,1.5,0.5,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.0_xz0.0_mh5,2129,-1.13,-0.13,0.137,-0.974,-1.36,64,0.125,0.009,-0.016,0.58,5.4,3,34,60,2.0,0.0,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.0_xz0.0_mh10,2129,-0.75,-0.09,0.141,-0.63,-1.04,46,0.196,0.017,-0.022,0.78,12.8,2,15,60,2.0,0.0,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.0_xz0.0_mh20,2129,-0.46,-0.05,0.159,-0.339,-0.79,39,0.333,0.027,-0.025,1.09,23.8,3,5,60,2.0,0.0,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.0_xz0.0_mh40,2129,-0.62,-0.07,0.179,-0.409,-1.0,30,0.467,0.037,-0.08,0.46,41.2,3,3,60,2.0,0.0,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.0_xz0.5_mh5,2129,-1.05,-0.12,0.133,-0.934,-1.36,64,0.125,0.009,-0.016,0.58,5.4,3,34,60,2.0,0.5,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.0_xz0.5_mh10,2129,-0.73,-0.09,0.133,-0.651,-1.06,46,0.196,0.014,-0.023,0.6,12.8,2,15,60,2.0,0.5,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.0_xz0.5_mh20,2129,-0.61,-0.07,0.141,-0.507,-0.94,41,0.341,0.017,-0.024,0.7,22.6,3,5,60,2.0,0.5,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.0_xz0.5_mh40,2129,-0.76,-0.09,0.155,-0.578,-1.11,35,0.429,0.017,-0.058,0.3,36.5,3,4,60,2.0,0.5,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.5_xz0.0_mh5,2129,-0.26,-0.03,0.113,-0.269,-0.64,37,0.27,0.046,-0.019,2.37,6.5,4,14,60,2.5,0.0,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.5_xz0.0_mh10,2129,-0.37,-0.04,0.129,-0.338,-0.66,31,0.226,0.016,-0.027,0.57,13.2,2,13,60,2.5,0.0,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.5_xz0.0_mh20,2129,-0.09,-0.01,0.143,-0.078,-0.42,30,0.367,0.031,-0.026,1.21,25.7,3,4,60,2.5,0.0,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.5_xz0.0_mh40,2129,-0.52,-0.06,0.169,-0.364,-0.91,24,0.375,0.041,-0.061,0.67,46.1,2,4,60,2.5,0.0,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.5_xz0.5_mh5,2129,-0.26,-0.03,0.113,-0.27,-0.64,37,0.27,0.045,-0.019,2.36,6.5,4,14,60,2.5,0.5,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.5_xz0.5_mh10,2129,-0.3,-0.04,0.12,-0.292,-0.65,31,0.258,0.014,-0.028,0.5,12.9,2,13,60,2.5,0.5,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.5_xz0.5_mh20,2129,-0.14,-0.02,0.124,-0.136,-0.53,31,0.419,0.025,-0.027,0.94,24.2,3,4,60,2.5,0.5,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb60_ez2.5_xz0.5_mh40,2129,-0.58,-0.07,0.148,-0.467,-0.96,27,0.481,0.017,-0.058,0.28,39.7,3,4,60,2.5,0.5,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb120_ez1.0_xz0.0_mh5,2129,-2.31,-0.27,0.185,-1.477,-2.62,220,0.077,0.026,-0.003,8.67,1.8,3,57,120,1.0,0.0,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb120_ez1.0_xz0.0_mh10,2129,-1.23,-0.15,0.183,-0.794,-1.55,122,0.172,0.015,-0.006,2.37,5.3,4,15,120,1.0,0.0,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb120_ez1.0_xz0.0_mh20,2129,-0.92,-0.11,0.185,-0.591,-1.17,65,0.231,0.017,-0.015,1.12,12.7,5,14,120,1.0,0.0,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb120_ez1.0_xz0.0_mh40,2129,-0.4,-0.05,0.194,-0.245,-0.68,36,0.306,0.026,-0.045,0.58,30.8,4,8,120,1.0,0.0,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb120_ez1.0_xz0.5_mh5,2129,-2.33,-0.28,0.182,-1.51,-2.64,219,0.087,0.022,-0.003,7.01,1.8,3,57,120,1.0,0.5,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb120_ez1.0_xz0.5_mh10,2129,-1.27,-0.15,0.18,-0.831,-1.59,123,0.195,0.013,-0.008,1.61,4.9,4,15,120,1.0,0.5,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb120_ez1.0_xz0.5_mh20,2129,-0.73,-0.09,0.178,-0.481,-1.09,69,0.29,0.018,-0.019,0.95,12.0,4,7,120,1.0,0.5,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb120_ez1.0_xz0.5_mh40,2129,-0.37,-0.04,0.181,-0.243,-0.77,47,0.447,0.02,-0.045,0.44,25.2,5,3,120,1.0,0.5,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb120_ez1.5_xz0.0_mh5,2129,-1.25,-0.15,0.138,-1.068,-1.51,108,0.102,0.017,-0.007,2.57,2.6,2,20,120,1.5,0.0,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb120_ez1.5_xz0.0_mh10,2129,-0.89,-0.11,0.144,-0.734,-1.21,60,0.133,0.018,-0.013,1.39,7.7,1,9,120,1.5,0.0,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb120_ez1.5_xz0.0_mh20,2129,-0.55,-0.06,0.158,-0.41,-0.95,36,0.222,0.035,-0.02,1.7,19.6,1,7,120,1.5,0.0,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb120_ez1.5_xz0.0_mh40,2129,-0.58,-0.07,0.159,-0.431,-0.96,23,0.391,0.024,-0.061,0.4,49.3,2,5,120,1.5,0.0,40,si_cal_23,SI2-SI3 calendar,silver
