date,z_gc_comex_carry_2m,z_gc_comex_carry_4m,z_si_comex_carry_2m,z_gc_cal_curvature,z_gc_si_cal_ratio,z_gc_comex_lbma_basis,z_si_comex_lbma_basis,z_gc_si_comex_basis_spread,z_gc_comex_curve_slope,z_comex_lbma_slope_basis,rate_regime
2018-10-06,1.7588616306841869,1.5891811187626312,2.0445578792911263,-1.0718542297491602,-0.8982131014848782,0.19765122990317302,1.631831165453634,-1.3127242997141575,-1.0718542297491602,-2.711089614576084,mid
2018-10-07,1.746029888559552,1.5791838914377745,2.0257301426430914,-1.0677345115973322,-0.8953095370814277,0.19833702470608058,1.615876106211422,-1.3019359906839327,-1.0677345115973322,-2.671162821096212,mid
2018-10-08,1.9098976314658997,1.7722302956284497,2.0999772901509197,-1.078763353223241,-0.8903672660958073,0.577094275179425,1.5027500631717592,-1.104490546735205,-1.078763353223241,-2.6195685258999086,mid
2018-10-09,1.8639364515721744,1.7244102255189764,2.0463021840716897,-1.0720123119611056,-0.8792324692482159,0.8598564483719858,1.6778179194547986,-1.1777143569176818,-1.0720123119611056,-2.5720202077403425,mid
2018-10-10,1.8295600690760419,1.6896553053380454,2.1204557916215245,-1.0662349931804591,-0.926691729901765,0.8770587015291942,1.7888719363568584,-1.2734084663024123,-1.0662349931804591,-2.5319206605533457,mid
2018-10-11,1.6754244865590262,1.6336220120009124,2.0827426187487577,-0.790634138846208,-0.9525897355722501,0.6258322725992086,1.7373917498068294,-1.3036092297230475,-0.790634138846208,-2.347736803721706,mid
2018-10-12,1.5162622936314443,1.3358051474360901,1.9938438347452359,-1.0351813233355647,-0.9554873073360208,0.45949975415850014,1.6613696792559933,-1.2885168335895332,-1.0351813233355647,-2.365291949981198,mid
2018-10-13,1.507519579080712,1.329298325411641,1.9765690915387837,-1.0314259248224458,-0.9522860374217188,0.46107298065772573,1.6453531150824814,-1.278209459901636,-1.0314259248224458,-2.338234530669019,mid
2018-10-14,1.4989265180699116,1.3228857727342063,1.9597360401027548,-1.0277111502091318,-0.9491167670996296,0.46264955279655895,1.629635935874977,-1.2680281373130196,-1.0277111502091318,-2.312085457019196,mid
2018-10-15,1.6110353133855213,1.3396695021051601,1.9571851830334408,-1.2928351926896868,-0.920212087001372,0.6477295462634257,1.5566588982528378,-1.1591008675357515,-1.2928351926896868,-2.3987329097317267,mid
2018-10-16,1.3934983854199858,1.2090740467789816,1.8427131386184084,-1.0107387749453753,-0.9248745435606922,0.36565598039289215,1.4829192783006835,-1.1747511287009798,-1.0107387749453753,-2.052433659895451,mid
2018-10-17,1.4211481113121767,1.2441611282552798,1.900359025879053,-1.010240274447538,-0.9481540335234651,0.26933829812991356,1.531485538160889,-1.2450171471337648,-1.010240274447538,-1.6464869281815877,mid
2018-10-18,1.5879346072878435,1.324682157571159,1.856780862154589,-1.2800409605550187,-0.8830663423078832,0.5191172582672497,1.4737694695758579,-1.1314685297724334,-1.2800409605550187,-1.9291458474008507,mid
2018-10-19,1.3921263552302043,1.4500602764781887,1.658806234824728,-0.4819241924347474,-0.8365073341372904,0.3065923202625272,1.310663828858227,-1.0496271934475854,-0.4819241924347474,-1.6114141051041992,mid
2018-10-20,1.38514391437173,1.4423819327227858,1.6481988774568623,-0.48090923873879615,-0.834076432576963,0.30973769023309694,1.300508308663128,-1.0419716189403416,-0.48090923873879615,-1.6015323432868058,mid
2018-10-21,1.37826560093878,1.4348244054153243,1.6377926178466877,-0.47990067516628565,-0.8316666244324848,0.3128967568775605,1.2904777067676647,-1.0343817991485604,-0.47990067516628565,-1.591830338211258,mid
2018-10-22,1.610393855399384,1.473660149724932,1.6544826284298417,-1.0203197289541668,-0.7758770649370559,0.4992049510246068,1.3224358661425377,-1.014954021645904,-1.0203197289541668,-1.7071400987785539,mid
2018-10-23,1.679723939224747,1.5575541930937913,1.8775846182476936,-1.0238267199673183,-0.8749737796874686,0.637670814696283,1.5144384183110866,-1.147910902053815,-1.0238267199673183,-1.8423108125803116,mid
2018-10-24,1.7242425365539722,1.49853042460742,1.8075305216918347,-1.2838092140408288,-0.8280426982179864,0.6534789463232897,1.4559496798414333,-1.0954636015479289,-1.2838092140408288,-1.7736741124106683,mid
2018-10-25,1.8956776770809374,1.5897497085309844,1.868014902662748,-1.5512879190410562,-0.8133005793157386,1.0523536777386713,1.4784842964840774,-1.0132660932852005,-1.5512879190410562,-2.202512652289979,mid
2018-10-26,1.6536891782280994,1.5422467624261145,1.8236135340151092,-1.008088322967673,-0.8585541813257423,0.7785673845611298,1.4059223580052858,-1.024375809056964,-1.008088322967673,-1.9526493590257392,mid
